,name,city,content,score,date
62,胤祥,北京,7分妥妥的。周冬雨迄今最佳状态了吧，角色写的好，演得更好。刘若英做导演就是自带剧透😂。最佳前女友之外不忘占个亲情戏。宾哥很卖力。黑白段落比较符合刘若英气质，歌太多，结尾崩了。拿「如果爱」或者「相爱相亲」做参考系的话，如果真的是刘若英本人把北漂题材拿捏得这么地道，那真是天才了。,推荐,2018-04-28
63,葡萄猪不爱睡觉,上海,从形式内容到档期营销，统统都是模仿当年的致青春，致青春票房年度第二，这部最终估计也不会差,很差,2018-04-26
64,乌鸦火堂,北京,“幸福不是故事，不幸才是”。演员、情感、细节、台词等完全到位，故事就弱了，缺乏因果关系，前半段与后20分钟极佳，中段冗长略矫情，但还是会被感动，情绪渲染到位，追梦中的得与失，绕不开的爱情，永留遗憾的亲情，周冬雨一如既往的赞，奶茶当导演有潜力，最爆裂一击来自田壮壮，这位可拿影帝,还行,2018-04-24
65,今夜无人入梦,关注此人,在我眼里第二个无问西东，投机取巧，毫无才华，对不起,很差,2018-04-28
66,邓安庆,北京,感觉有点冗长，也可以不用这么煽情。演员是合格的。,还行,2018-04-28
67,一一,北京,"只有四个字，生拼硬凑！
第一次看电影中途离场！",很差,2018-04-28
68,S@m,上海,奶茶导演处女作，中规中矩，说走心或者矫情都行，每个经历不同的人能从中找到自己感动的点。周冬雨一如既往挥洒自如，井宝表演加一星！故事是好故事，只是过了那个年纪，哭不出来啊，唉～ 4,推荐,2018-04-27
69,张小文的女友,吉林吉林,电影还可以……可背后的运作比电影更有趣。,还行,2018-04-28
70,樹,四川成都,刘若英一心想拍一部中国版的《一天》，借用《春光》的房间色调，从人设到主题的设定，甚至直接套用《一天》的电影配乐，复调式叙事片段让后半部分剧情很幼稚，像个大型mv，（我几乎完全无法进入剧情）坐在我身边的少年低头哭了。,还行,2018-04-27
71,不良生,江苏南京,后来他们大抵各自去过很多地方，遇见过很多人，看过很多风景，吃过很多美食。——但，统统都没有初时挤在蹩脚小租屋里的最后那一锅煮面更好吃了。,还行,2018-04-28
72,叶枕,上海,还不如郭敬明的小时代。“我觉得你是我见过最特别的女孩，你会打牌，会喝酒还会骂人。”——长鸡巴的大屌萌妹了解一下，更特别的女孩。,较差,2018-04-29
73,膨化月亮,关注此人,能够不负对方就已经很好了，不负这一生太难了。,推荐,2018-04-28
74,huilin0815,辽宁沈阳,虽然评分低 但我要给四分 我看懂了这部电影,推荐,2018-04-28
75,瓜-茜-茜,四川成都,电影和人生都以余味定输赢,较差,2018-04-27
76,纤纤,天津,提前营销的有点过，扣一星，青春主题不要过多营销情怀，虽然人人都会经历，但是难以找到共鸣不会给电影加分的，还是好好加强故事性吧，演员表现不功不过。,较差,2018-04-28
77,_______喂丶,浙江杭州,恋爱、分手、错过、重逢的故事，国产特色……,很差,2018-04-28
78,马达,北京,不懂如何去爱的年龄，遇到了一个爱的人,推荐,2018-05-05
79,Mona Lishark,Isle of Man,电影结尾彩蛋里举着牌子悼念前任的那些路人，是「后来」都没有找到对象吗？还是压根不管现任想什么？,null,2018-05-03
80,樹,四川成都,刘若英一心想拍一部中国版的《一天》，借用《春光》的房间色调，从人设到主题的设定，甚至直接套用《一天》的电影配乐，复调式叙事片段让后半部分剧情很幼稚，像个大型mv，（我几乎完全无法进入剧情）坐在我身边的少年低头哭了。,还行,2018-04-27
81,不良生,江苏南京,后来他们大抵各自去过很多地方，遇见过很多人，看过很多风景，吃过很多美食。——但，统统都没有初时挤在蹩脚小租屋里的最后那一锅煮面更好吃了。,还行,2018-04-28
82,叶枕,上海,还不如郭敬明的小时代。“我觉得你是我见过最特别的女孩，你会打牌，会喝酒还会骂人。”——长鸡巴的大屌萌妹了解一下，更特别的女孩。,较差,2018-04-29
83,膨化月亮,关注此人,能够不负对方就已经很好了，不负这一生太难了。,推荐,2018-04-28
84,huilin0815,辽宁沈阳,虽然评分低 但我要给四分 我看懂了这部电影,推荐,2018-04-28
85,瓜-茜-茜,四川成都,电影和人生都以余味定输赢,较差,2018-04-27
86,纤纤,天津,提前营销的有点过，扣一星，青春主题不要过多营销情怀，虽然人人都会经历，但是难以找到共鸣不会给电影加分的，还是好好加强故事性吧，演员表现不功不过。,较差,2018-04-28
87,_______喂丶,浙江杭州,恋爱、分手、错过、重逢的故事，国产特色……,很差,2018-04-28
88,马达,北京,不懂如何去爱的年龄，遇到了一个爱的人,推荐,2018-05-05
89,Mona Lishark,Isle of Man,电影结尾彩蛋里举着牌子悼念前任的那些路人，是「后来」都没有找到对象吗？还是压根不管现任想什么？,null,2018-05-03
90,好青年bobo,辽宁沈阳,演员还是有好感的，但是真的很做作很矫情啊,很差,2018-04-28
91,刘三姐不好死,关注此人,拍得太差了 一分都不想给 比PPT还难看  还是去看小时代把,很差,2018-04-28
92,基本是我,浙江宁波,张一白的监制，果然有烂片趋势。但是全靠两位演员演技撑住了。剧情太矫情了，如果奶茶的师父张艾嘉接住了大陆的地气，那奶茶可能是女性鸡汤公众号里的10W＋文章里认识的大陆。太作，太矫情，太不接地气。但是鼓励一下，及格吧！,还行,2018-04-28
93,Lalio,北京,不是每个人都能做导演！刘若英你不是女文青么？怎么拍出的片子这么矫情俗烂。悲伤逆流成河式的对白，躺在书页上的这种句子我都看的反胃，刘若英竟然让男女主对白个不停。叙事手法也真的很装b，大学毕业生为什么会去做客服？对北漂一族的误解是不是太大了？2018最烂！张一白果然从不失手。,很差,2018-04-28
94,肖恩恩恩恩肖,上海,6.5恰如其分了。剧本太一般，像缺氧版的lala land，让人在压抑中担心这个故事到哪口气会喘不上来。但表演却有8分，而表演分的80%又要归功给周冬雨。时灵时不灵的周冬雨，居然又一次，扛起了一部电影。。。,还行,2018-04-28
95,齐木楠雄,北京,哇，片方买预售然后大规模退票的新注水方式，厉害了,很差,2018-04-28
96,薇羅尼卡,广东广州,意料之外的好看，也真的被击中了，因为这就是年轻贫穷时的爱情的样子呀！出租屋的细节很真实，周冬雨还是很好，井柏然意外演技上线。那个时候错过的人，也就真的一辈子错过了吧。希望后来的我们，一切都好。,推荐,2018-04-30
97,掉线,北京,【C】角色讲话跟念诗似的，日常里谁不说“我们后来”硬要倒装成“后来的我们”啊？还动不动对仗，多亏两位表演自然的青年演员才抹掉了电影很大一部分做作。情节都是没有真情实感的符号，真情实感时又太过刻意。本片最大意义，也就是为女大学生的朋友圈和微博又贡献了可搭配自拍的文案新素材。,还行,2018-04-30
98,LOOK,上海,整个电影就是在贩卖一个个烂大街的概念，所有一切关于爱情的千回百转都是想当然的既定设计，都是卡拉OK五流流行歌曲的自我催眠，都是“应该”要被哭泣被幸福。没有任何一场戏能逃脱这个思路也是够可以的。最出戏的是田壮壮，那原汁原味的纯正北京味真是替哭着喊着要去北京的井柏然哭笑不得。零蛋。,很差,2018-04-28
99,uncanny1993,四川成都,今天看的点映，真的非常好看，简直满分。刘若英第一次导演就有这么好的作品，真的让人喜出望外。,力荐,2018-04-27
